CH No,Name,Frequency,Dup,Offset,Mode,DATA,Filter,TONE,Repeater Tone,TSQL Frequency,DTCS Code,DTCS Polarity,DV SQL,DV CSQL Code,Your Call Sign,RPT1 Call Sign,RPT2 Call Sign
54,SO-50,436.795000,OFF,0.000000,FM,OFF,1,OFF,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
55,SO-50,145.850000,OFF,0.000000,FM,OFF,1,TONE,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
56,SO-50 ON,436.795000,OFF,0.000000,FM,OFF,1,OFF,67.0Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
57,SO-50 ON,145.850000,OFF,0.000000,FM,OFF,1,TONE,74.4Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
58,TO-108 - CAS-6,145.925000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
59,TO-108 - CAS-6,435.280000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
60,TO-108 CW BEACON,145.910000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
61,TO-108 CW BEACON,435.900000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
62,XW-2A,145.675000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
63,XW-2A,435.040000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
64,XW-2A CW BEACON,145.660000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
65,XW-2A CW BEACON,449.000000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
66,XW-2B,145.740000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
67,XW-2B,435.100000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
68,XW-2B CW BEACON,145.725000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
69,XW-2B CW BEACON,449.000000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
70,XW-2C,145.805000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
71,XW-2C,435.160000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
72,XW-2C CW BEACON,145.790000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
73,XW-2C CW BEACON,449.000000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
74,XW-2D,145.870000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
75,XW-2D,435.220000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
76,XW-2D CW BEACON,145.855000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
77,XW-2D CW BEACON,449.000000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
78,XW-2F,145.990000,OFF,0.000000,USB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
79,XW-2F,435.340000,OFF,0.000000,LSB,OFF,1,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
80,XW-2F CW BEACON,145.975000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
81,XW-2F CW BEACON,449.000000,OFF,0.000000,CW,OFF,2,OFF,88.5Hz,88.5Hz,023,BOTH N,OFF,0,CQCQCQ,,
82,,,,,,,,,,,,,,,,,
83,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,
85,,,,,,,,,,,,,,,,,
86,,,,,,,,,,,,,,,,,
87,,,,,,,,,,,,,,,,,
88,,,,,,,,,,,,,,,,,
89,,,,,,,,,,,,,,,,,
90,,,,,,,,,,,,,,,,,
91,,,,,,,,,,,,,,,,,
92,,,,,,,,,,,,,,,,,
93,,,,,,,,,,,,,,,,,
94,,,,,,,,,,,,,,,,,
95,,,,,,,,,,,,,,,,,
96,,,,,,,,,,,,,,,,,
97,,,,,,,,,,,,,,,,,
98,,,,,,,,,,,,,,,,,
99,,,,,,,,,,,,,,,,,
100,,,,,,,,,,,,,,,,,
101,,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,
110,,,,,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,
160,,,,,,,,,,,,,,,,,
161,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,
180,,,,,,,,,,,,,,,,,
181,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,
186,,,,,,,,,,,,,,,,,
187,,,,,,,,,,,,,,,,,
188,,,,,,,,,,,,,,,,,
189,,,,,,,,,,,,,,,,,
190,,,,,,,,,,,,,,,,,
191,,,,,,,,,,,,,,,,,
192,,,,,,,,,,,,,,,,,
193,,,,,,,,,,,,,,,,,
194,,,,,,,,,,,,,,,,,
195,,,,,,,,,,,,,,,,,
196,,,,,,,,,,,,,,,,,
197,,,,,,,,,,,,,,,,,
